x,y,z,rho,p,is_boundary
0.0876166,0.77412,0.291176,123.162,1916.22,0
0.108083,0.788418,0.382676,92.9337,0,0
0.0883424,0.790751,0.501899,115.567,1156.7,0
0.0832591,0.769366,0.586481,121.185,1718.5,0
0.111594,0.784488,0.694922,117.844,1384.43,0
0.108032,0.78788,0.778611,115.871,1187.08,0
0.0959414,0.782156,0.887486,94.5985,0,0
0.0897564,0.771265,0.989626,96.5793,0,0
0.0837719,0.863115,0.00412741,107.407,340.704,0
0.0990059,0.88202,0.083982,116.29,1229.04,0
0.0913329,0.874052,0.195145,104.503,50.3448,0
0.088487,0.885957,0.303256,114.808,1080.84,0
0.110965,0.885434,0.400419,121.626,1762.56,0
0.0847652,0.864505,0.484315,125.615,2161.47,0
0.102373,0.883246,0.579978,112.376,837.578,0
0.0850648,0.87497,0.677675,113.186,918.638,0
0.0999839,0.873271,0.7875,117.613,1361.28,0
0.0855616,0.876112,0.872815,113.993,999.274,0
0.109311,0.865844,0.983718,98.057,0,0
0.0948583,0.983108,0,102.012,0,0
0.0942482,0.978836,0.10205,111.025,702.483,0
0.101503,0.985358,0.188276,127.741,2374.06,0
0.084511,0.9743,0.285902,109.194,519.367,0
0.103043,0.964392,0.392484,129.278,2527.79,0
0.101703,0.980404,0.473936,114.802,1080.22,0
0.108655,0.95975,0.591732,111.547,754.705,0
0.101055,0.977854,0.691568,123.023,1902.26,0
0.108792,0.973609,0.771167,112.908,890.812,0
0.103967,0.973766,0.866526,119.118,1511.83,0
0.0834063,0.962739,0.975412,97.8673,0,0
0.111105,1.07177,0,107.753,375.318,0
0.10481,1.08392,0.0963986,106.285,228.455,0
0.0902949,1.06639,0.194781,111.578,757.797,0
0.0998227,1.06568,0.304319,95.5953,0,0
0.0921979,1.05807,0.404149,107.742,374.216,0
0.110966,1.06635,0.491639,115.665,1166.47,0
0.0946553,1.0632,0.577862,96.1088,0,0
0.100267,1.06467,0.695051,104.832,83.2161,0
0.10873,1.071,0.781508,105.222,122.24,0
0.0957676,1.06417,0.87292,110.961,696.094,0
0.111475,1.06438,0.985074,93.1686,0,0
0.205055,0.0818712,0.0107185,90.1672,0,0
0.203112,0.0863624,0.101983,123.397,1939.69,0
0.19956,0.0921146,0.187761,102.002,0,0
0.184079,0.0892402,0.301421,100.365,0,0
0.188431,0.0951588,0.384626,105.164,116.418,0
0.202512,0.105506,0.481854,102.41,0,0
0.194744,0.110397,0.590595,110.329,632.877,0
0.196404,0.0915184,0.67793,96.2729,0,0
0.204899,0.0844222,0.778622,92.9733,0,0
0.206278,0.0862303,0.868016,97.4461,0,0
0.193324,0.0903777,0.971473,84.7063,0,0
0.188193,0.184772,0.00420952,106.102,210.164,0
0.185179,0.194985,0.0958811,132.042,2804.22,0
0.185055,0.194327,0.182704,108.5,450.047,0
0.194765,0.192177,0.29936,84.7665,0,0
0.195972,0.204154,0.403096,106.49,248.962,0
0.195589,0.185996,0.50085,120.353,1635.35,0
0.207947,0.1914,0.572116,121.912,1791.23,0
0.19056,0.206946,0.669187,98.1734,0,0
0.19958,0.195325,0.787592,91.3649,0,0
0.182787,0.205442,0.88737,116.461,1246.13,0
0.204117,0.190529,0.968267,103.918,0,0
0.201835,0.300741,0.0129546,94.0931,0,0
0.188574,0.277409,0.109555,127.156,2315.6,0
0.188398,0.284889,0.186836,127.433,2343.32,0
0.188897,0.304041,0.297977,117.836,1383.64,0
0.181463,0.287636,0.390058,133.907,2990.74,0
0.200913,0.301208,0.475584,105.69,169.006,0
0.186847,0.299368,0.595976,114.015,1001.46,0
0.187892,0.287057,0.683784,120.477,1647.68,0
0.1908,0.293356,0.771837,107.988,398.761,0
0.190629,0.296731,0.881963,124.843,2084.35,0
0.206835,0.290938,0.961431,119.43,1543.02,0
0.206683,0.396328,0.00534684,115.467,1146.74,0
0.183933,0.382193,0.0871348,107.044,304.371,0
0.204611,0.375185,0.190207,118.045,1404.45,0
0.182416,0.38369,0.278867,110.323,632.342,0
0.18477,0.375486,0.383084,105.029,102.877,0
0.204493,0.402536,0.482458,109.675,567.521,0
0.199305,0.385277,0.574919,106.788,278.806,0
0.206316,0.384463,0.686079,85.0797,0,0
0.201852,0.391186,0.793706,121.869,1786.93,0
0.20493,0.378953,0.87903,116.647,1264.67,0
0.197253,0.378237,0.969699,103.794,0,0
0.196699,0.476496,0,109.201,520.127,0
0.18381,0.476652,0.095829,106.337,233.737,0
0.201334,0.475164,0.187784,111.844,784.387,0
0.182528,0.48919,0.296966,105.141,114.106,0
0.207275,0.484203,0.389115,96.3472,0,0
0.181117,0.491006,0.497987,119.705,1570.51,0
0.188524,0.489308,0.594233,111.757,775.69,0
0.188182,0.499921,0.673169,102.598,0,0
0.194558,0.476464,0.786225,123.95,1995.04,0
0.195297,0.493046,0.867931,110.65,665.038,0
0.185127,0.472232,0.985524,88.527,0,0
0.187588,0.593537,0,99.718,0,0
0.185628,0.586904,0.111225,134.374,3037.36,0
0.187326,0.575844,0.183451,109.152,515.215,0
0.184858,0.575038,0.294751,121.973,1797.25,0
0.19852,0.594979,0.375916,114.776,1077.58,0
0.182712,0.581886,0.490556,111.339,733.947,0
0.181508,0.593612,0.590916,109.905,590.533,0
0.20589,0.590479,0.692983,111.779,777.879,0
0.187245,0.578243,0.775082,113.465,946.532,0
0.194224,0.589991,0.866825,120.998,1699.77,0
0.209328,0.591943,0.987489,97.5144,0,0
0.186011,0.673363,0.00666568,118.23,1423.05,0
0.183308,0.66893,0.0973858,115.627,1162.75,0
0.205211,0.692865,0.199734,111.867,786.687,0
0.181454,0.671394,0.27814,112.202,820.16,0
0.180844,0.675434,0.396534,108.367,436.718,0
0.184461,0.676622,0.501746,108.223,422.295,0
0.191491,0.678405,0.588722,112.327,832.716,0
0.181224,0.695008,0.694672,133.931,2993.15,0
0.200905,0.691779,0.782632,120.574,1657.41,0
0.196226,0.682272,0.863947,115.221,1122.14,0
0.201526,0.677545,0.965118,96.5489,0,0
0.196715,0.765648,0,108.442,444.183,0
0.195718,0.774022,0.104747,110.006,600.552,0
0.197609,0.788045,0.196992,107.027,302.712,0
0.1865,0.774792,0.290211,96.8522,0,0
0.204993,0.792705,0.389134,118.106,1410.57,0
0.203904,0.776461,0.479946,110.128,612.787,0
0.188289,0.780173,0.582059,91.4827,0,0
0.202146,0.766198,0.685294,116.799,1279.89,0
0.193253,0.791786,0.775721,116.097,1209.67,0
0.20058,0.769493,0.865512,110.49,649.041,0
0.20042,0.787711,0.970165,98.9942,0,0
0.205119,0.86287,0.0048797,88.7904,0,0
0.182045,0.863439,0.0980439,110.897,689.671,0
0.193799,0.878959,0.192449,111.009,700.913,0
0.182903,0.878565,0.291176,108.586,458.644,0
0.197498,0.873529,0.377427,125.668,2166.79,0
0.185206,0.874965,0.481792,97.9509,0,0
0.195584,0.87657,0.580338,111.112,711.229,0
0.184648,0.886719,0.672389,107.78,378.047,0
0.188937,0.886263,0.775774,113.925,992.539,0
0.187269,0.880151,0.865022,102.972,0,0
0.196462,0.889237,0.984334,99.5983,0,0
0.20536,0.97412,0.00488935,102.791,0,0
0.187294,0.972327,0.0958686,101.635,0,0
0.184361,0.987231,0.191271,118.362,1436.25,0
0.201937,0.966563,0.283497,105.665,166.536,0
0.187257,0.983221,0.401258,116.711,1271.06,0
0.190248,0.973777,0.498651,114.349,1034.9,0
0.193375,0.988381,0.586258,117.567,1356.71,0
0.188073,0.963706,0.685246,108.814,481.409,0
0.207539,0.981134,0.788656,113.817,981.73,0
0.183591,0.97198,0.874451,127.654,2365.42,0
0.183351,0.97432,0.965299,100.998,0,0
0.188134,1.05775,0,107.907,390.739,0
0.184605,1.08504,0.0969744,96.9932,0,0
0.204102,1.07159,0.204914,114.367,1036.71,0
0.196416,1.06439,0.295226,107.167,316.7,0
0.203775,1.05833,0.385952,112.557,855.689,0
0.202708,1.07291,0.493762,121.57,1756.97,0
0.198338,1.06994,0.573938,116.86,1286.02,0
0.197509,1.08231,0.679415,95.7323,0,0
0.206639,1.0694,0.78158,119.478,1547.78,0
0.194141,1.06138,0.87394,98.0631,0,0
0.193118,1.07461,0.983539,94.3583,0,0
0.303781,0.104187,0.00016925,100.314,0,0
0.278332,0.0876596,0.0923147,110.511,651.108,0
0.284596,0.0839331,0.188362,103.831,0,0
0.29914,0.0897068,0.280921,96.1285,0,0
0.288418,0.083584,0.38744,80.472,0,0
0.298247,0.105213,0.497698,113.579,957.943,0
0.300403,0.0857008,0.570314,108.76,476.013,0
0.297927,0.0878849,0.690419,112.385,838.522,0
0.300552,0.107419,0.77276,126.323,2232.3,0
0.291105,0.107369,0.872581,113.672,967.181,0
0.296541,0.0904308,0.968626,93.8051,0,0
0.281662,0.187233,0.00167961,98.0109,0,0
0.284996,0.190854,0.0999729,96.2461,0,0
0.286599,0.203227,0.200199,100.055,0,0
0.299318,0.187419,0.28278,106.022,202.21,0
0.294004,0.204596,0.39043,108.735,473.507,0
0.301822,0.192476,0.488974,108.116,411.598,0
0.303964,0.185296,0.59343,100.546,0,0
0.290159,0.181469,0.693442,97.509,0,0
0.293284,0.184376,0.788257,118.384,1438.43,0
0.302745,0.194669,0.889934,132.562,2856.21,0
0.300527,0.192445,0.965811,110.561,656.101,0
0.299275,0.304518,0.0100051,130.79,2679.03,0
0.305704,0.301352,0.0860019,114.863,1086.34,0
0.295754,0.301362,0.192275,101.313,0,0
